filename,intake_key,role,sequence,orientation,background,owner_approved,notes
vintage-ceramic-handbell-01.jpeg,vintage-ceramic-handbell,primary,1,portrait,light neutral background,true,
burgundy-montblanc-pen-01.jpeg,burgundy-montblanc-pen,primary,1,portrait,dark tabletop,true,
hand-painted-decorative-shell-01.png,hand-painted-decorative-shell,primary,1,square,light neutral background,true,
vintage-floral-teacup-saucer-01.png,vintage-floral-teacup-saucer,primary,1,square,transparent background,true,
